gendered,non_gendered
"Der Senior*innenbeirat berät die Stadtverwaltung in Fragen, die ältere Menschen betreffen.","Der Seniorenbeirat berät die Stadtverwaltung in Fragen, die ältere Menschen betreffen."
Die die Rechnung empfangende Person muss die Zahlung innerhalb von 14 Tagen leisten.,Die Rechnungsempfängerin muss die Zahlung innerhalb von 14 Tagen leisten.
Die verbeamteten Personen überprüften die Dokumente sorgfältig.,Die Beamten überprüften die Dokumente sorgfältig.
Jeder Mensch hat das Recht auf Freiheit und Sicherheit.,Jeder Mensch hat das Recht auf Freiheit und Sicherheit.
Die Redner:innenliste für die Konferenz wurde vorab veröffentlicht.,Die Rednerliste für die Konferenz wurde vorab veröffentlicht.
Dier Antagonist_in im Film war dier Erzfeind_in von Mo.,Die Antagonistin im Film war die Erzfeindin von Mo.
Dier Teilnehmer/in hat während des Kurses große Fortschritte gemacht.,Die Teilnehmerin hat während des Kurses große Fortschritte gemacht.
Dier BetriebsrätIn vertritt die Interessen der Angestellten im Unternehmen.,Der Betriebsrat vertritt die Interessen der Angestellten im Unternehmen.
Dier Steuerschuldner*in erhielt eine Mahnung.,Die Steuerschuldnerin erhielt eine Mahnung.
Die Mitarbeiter/inbefragung ergab wertvolle Einblicke in die Zufriedenheit der Angestellten.,Die Mitarbeiterbefragung ergab wertvolle Einblicke in die Zufriedenheit der Angestellten.
Dier Jubilar*in wurde für deren 25-jährige Betriebszugehörigkeit geehrt.,Die Jubilarin wurde für ihre 25-jährige Betriebszugehörigkeit geehrt.
Auf dem Parkplatz stand ein verlassenes Fahrrad.,Auf dem Parkplatz stand ein verlassenes Fahrrad.
Dier Zeug:in sagte im Gerichtsprozess gegen dier Angeklagte:n aus.,Der Zeuge sagte im Gerichtsprozess gegen den Angeklagten aus.
Dier Auftragnehmer/in führte die Arbeiten pünktlich aus.,Der Auftragnehmer führte die Arbeiten pünktlich aus.
Die Kinder lernten Steighilfe. ,Die Kinder lernten Räuberinleiter. 
Die kraftfahrzeugführende Person lieferte die Waren pünktlich an alle Zielorte.,Der erfahrene Kraftfahrer lieferte die Waren pünktlich an alle Zielorte.
Dier BesitzerIn von Immobilieneigentum hat besondere Rechte und Pflichten.,Der Besitzer von Immobilieneigentum hat besondere Rechte und Pflichten.
Dier Gelehrte veröffentlichte zahlreiche wissenschaftliche Artikel.,Die Gelehrte veröffentlichte zahlreiche wissenschaftliche Artikel.
Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellenden besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellern besetzt.
Das Hochzeitspaar fuhr glücklich in die Flitterwochen.,Das Hochzeitspaar fuhr glücklich in die Flitterwochen.
Die kunstsammelnde Person zeigte stolz deren wertvolle Sammlung bei einer Ausstellung.,"Die Kunstsammlerin zeigte stolz ihre wertvolle Sammlung bei einer Ausstellung.
"
Dier Seminarleiter:in führte durch das Programm des Workshops.,Die Seminarleiterin führte durch das Programm des Workshops.
Dier Parteichef_in kündigte eine umfassende Reformpolitik an.,Die Parteichefin kündigte eine umfassende Reformpolitik an.
Dier Rekrut*in absolvierte das harte Training.,Die Rekrutin absolvierte das harte Training.
Die Geschwister 2. Grades spielten zusammen im Garten.,Die Cousins spielten zusammen im Garten.
Über mein Kund*inkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundinkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.
Trägst du etwas am Körper?,Trägst du etwas am Körper?
Dier Friseur/in schnitt dem die Haare.,Die Friseurin schnitt ihr die Haare.
Die Polizei nahm mehrere Steinewerfer:innen fest.,Die Polizei nahm mehrere Steinewerferinnen fest.
Eine künstlerisch tätige Person von gleicher Art findet man nur selten.,Einen Künstler seinesgleichen findet man nur selten.
Die Seminarleitung führte durch das Programm des Workshops.,Die Seminarleiterin führte durch das Programm des Workshops.
Dier Sympathisant*in unterstützte die politische Bewegung.,Der Sympathisant unterstützte die politische Bewegung.
Die Workshopleitung erklärte den Teilnehmenden die Ziele und den Ablauf des Seminars.,Die Workshopleiterin erklärte den Teilnehmerinnen die Ziele und den Ablauf des Seminars.
Die strategisch agierende Person entwickelte einen Plan für den Wettbewerb.,Die Strategin entwickelte einen Plan für den Wettbewerb.
Dier Peiniger/in wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.,Die Peinigerin wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.
Die Schlichter/in vermittelte im Streit.,Die Schlichterin vermittelte im Streit.
Dier Gegenkandidat_in stellte sich zur Wahl auf.,Der Gegenkandidat stellte sich zur Wahl auf.
"Der Bürger*inkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma.","Der Bürgerinkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma."
Nur Karteninhaber*innen haben Zugang zum exklusiven Konzert,Nur Karteninhaber haben Zugang zum exklusiven Konzert.
Dier FahrradfahrerIn trug einen Helm zur Sicherheit.,Der Fahrradfahrer trug einen Helm zur Sicherheit.
Dier Biolog_in erforschte das Verhalten der Tiere in ihrem natürlichen Lebensraum.,Die Biologin erforschte das Verhalten der Tiere in ihrem natürlichen Lebensraum.
Dier PoetIn schrieb wunderschöne Gedichte.,Der Poet schrieb wunderschöne Gedichte.
"Das Teammitglied stand deren befreundeter Person in schwierigen Zeiten bei und unterstützte sie, wo dey konnte.","Der Kamerad stand seinem Freund in schwierigen Zeiten bei und unterstützte ihn, wo er konnte."
Die sozialmedizinische Fachkraft analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.,Die Sozialmedizinerin analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.
Dier Schulungsleiter/in erklärte die Sicherheitsvorschriften.,"Die Schulungsleiterin erklärte die Sicherheitsvorschriften.
"
Die Staatsleute führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.,Die Staatsfrauen führten wichtige Gespräche über internationale Beziehungen und Handelsabkommen.
Der Film zeigte die Geschichte einer schwangeren Person.,Der Film zeigte die Geschichte eines schwangeren Mannes.
Bei der Passant_innenbefragung wurden wichtige Meinungen zur neuen Stadtentwicklung eingeholt.,Bei der Passantinnenbefragung wurden wichtige Meinungen zur neuen Stadtentwicklung eingeholt.
Das Oberhaupt der Stadtverwaltung zeigte große Bevölkerungsnähe durch deren regelmäßigen Sprechstunden.,Die Bürgermeisterin zeigte große Bürgerinnähe durch ihre regelmäßigen Sprechstunden.
"Anfänger*innen sollten sich nicht scheuen, nach Rat zu fragen.","Anfängerinnen sollten sich nicht scheuen, nach Rat zu fragen."
Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,Sie ist ein echtes Naturmädchen und verbringt viel Zeit im Wald.
Dier Anwält*in gewann fast alle Prozesse vor Gericht.,Der Anwalt gewann fast alle Prozesse vor Gericht.
Dier MitarbeiterIn wurde für ihre herausragende Leistung und ihr Engagement mit dem Monats-Award ausgezeichnet.,Die Mitarbeiterin wurde für ihre herausragende Leistung und ihr Engagement mit dem Monats-Award ausgezeichnet.
Dier Bürgermeister:in eröffnete das Sommerfest mit einer Ansprache. Die Bewohner:innen des Ortes jubelten dem zu. ,Der Bürgermeister eröffnete das Sommerfest mit einer Ansprache. Die Bewohner des Ortes jubelten ihm zu. 
Deutsch ist meine Erstsprache.,Deutsch ist meine Muttersprache.
Dier Querdenker/in brachte Ideen in die Diskussion ein.,Der Querdenker brachte Ideen in die Diskussion ein.
Thapelo ist eine Abitur ablegende Person,Thapelo ist eine Abiturientin
Der Bau des Projekts wurde auf etwa zehn Personenmonate geschätzt.,Der Bau des Projekts wurde auf etwa zehn Personenmonate geschätzt.
Dier Wart:in wartete geduldig auf die Ankunft des Zuges.,Der Wart wartete geduldig auf die Ankunft des Zuges.
Die optimale Teilnehmer:innenzahl für das Teambuilding-Event liegt bei 10 bis 15 Personen.,Die optimale Teilnehmerzahl für das Teambuilding-Event liegt bei 10 bis 15 Personen.
Dier PraktikerIn zeigte uns hilfreiche Tipps aus der Praxis.,Die Praktikerin zeigte uns hilfreiche Tipps aus der Praxis.
Der landwirtschaftliche Betrieb produziert frische Milch und Eier.,Der Bauernhof produziert frische Milch und Eier.
Die Politiker_innen tagen bis spät in die Nacht.,Die Politiker tagen bis spät in die Nacht.
Die SeefahrerInnen entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.
Die Versicherung fragte nach den Verursacher_innen des Brandschadens.,Die Versicherung fragte nach den Verursacherinnen des Brandschadens.
... Dier Gewinner/in wird um 15 Uhr bekannt gegeben.,... Der Gewinnerin wird um 15 Uhr bekannt gegeben.
"Dier Trompeter/in spielte ein virtuos klingendes Solo, das das Publikum begeisterte.","Der Trompeter spielte ein virtuos klingendes Solo, das das Publikum begeisterte."
Dier Geograph:in erforschte die Veränderungen der Erdoberfläche.,Der Geograph erforschte die Veränderungen der Erdoberfläche.
Das Okapi ist in den Wäldern Zentralafrikas heimisch.,Das Okapi ist in den Wäldern Zentralafrikas heimisch.
Das ärztliche (Fach-)Personal im Krankenhaus arbeitet rund um die Uhr.,Die Ärztinnen im Krankenhaus arbeiten rund um die Uhr.
Dier Zehnkämpfer:in trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.,Die Zehnkämpferin trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.
Das junge Team feierte seinen Sieg ausgiebig.,Das Mädchenteam feierte seinen Sieg ausgiebig.
Dier Arbeitsdirektor*in ist für die Personalpolitik im Unternehmen verantwortlich.,Der Arbeitsdirektor ist für die Personalpolitik im Unternehmen verantwortlich.
"Die Teamleitung musste stets alles unter Kontrolle haben, um alle Herausforderungen effektiv zu meistern.","Der Teamleiter musste stets „Herr der Lage sein“, um alle Herausforderungen effektiv zu meistern."
Die Schöpfer:innen der neuen Programme hatten viel Arbeit vor sich. ,Die Schöpferinnen der neuen Programme hatten viel Arbeit vor sich. 
Jede:r Mitarbeiter:in kam pünktlich.,Jeder Mitarbeiter kam pünktlich.
Dier Berichterstatter/in berichtete live vom Ort des Geschehens.,Der Berichterstatter berichtete live vom Ort des Geschehens.
Die Interessent*innen schauten sich alles vor dem Kauf penibel an.,Die Interessenten schauten sich alles vor dem Kauf penibel an.
Die erbberechtigte Person trat das Familienunternehmen an.,Der Erbe trat das Familienunternehmen an.
Die BauträgerInnen waren überfordert mit der größe des neuen Bauprojektes.,Die Bauträger waren überfordert mit der größe des neuen Bauprojektes.
Die StörerInnen wurden aus dem Konzertsaal verwiesen.,Die Störer wurden aus dem Konzertsaal verwiesen.
Die Wache des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.,Der Wächter des Waldes beschützt die Tiere und Pflanzen vor Eindringlingen.
... Löst die Aufgabe in Partner_inarbeit!,... Löst die Aufgabe in Partnerarbeit!
"Der Bürger/inkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma.","Der Bürgerkrieg in Syrien hat sehr viel im Land zerstört, nun leiden viele an Hungersnot und Trauma."
Dier AnwärterIn bereitete sich auf die Aufnahmeprüfung vor.,Der Anwärter bereitete sich auf die Aufnahmeprüfung vor.
Dier Schulleiter/in organisierte das Schulfest.,Die Schulleiterin organisierte das Schulfest.
Die Ermittler_innen fanden die Schuldigen nach intensiven Untersuchungen.,Die Ermittler fanden die Schuldigen nach intensiven Untersuchungen.
Dier Stellvertreter:in übernahm die Aufgaben während der Abwesenheit der Leitung.,Die Stellvertreterin übernahm die Aufgaben während der Abwesenheit der Leitung.
Ein:e prominente:r Schauspieler:in besuchte die Veranstaltung.,Ein prominenter Schauspieler besuchte die Veranstaltung.
Die Grinsebacke der Klasse brachte alle zum Lachen.,Die Grinsebacke der Klasse brachte alle zum Lachen.
Die für die Bauplanung verantwortliche Person plante die neue Brücke.,Die Bauingenieurin plante die neue Brücke.
Dier Wissenschaftler:in entdeckte eine neue Methode zur Krebsbehandlung.,Die Wissenschaftlerin entdeckte eine neue Methode zur Krebsbehandlung.
Die geldgebende Person unterstützte das Start-up mit einer großzügigen Investition.,Der Geldgeber unterstützte das Start-up mit einer großzügigen Investition.
Man muss eine Sache in den Griff bekommen.,Man muss einer Sache Herrin werden.
Dier SchriftführerIn hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.,Der Schriftführer hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.
Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,Sie ist ein echtes Naturmädchen und verbringt viel Zeit im Wald.
Die Protagonist*innen des Films kämpften gegen das Böse.,Die Protagonistinnen des Films kämpften gegen das Böse.
... Löst die Aufgabe zu zweit. ,... Löst die Aufgabe in Partnerarbeit!
Im Bürger:inamt kann man einen neuen Personalausweis beantragen.,Im Bürgerinamt kann man einen neuen Personalausweis beantragen.
"Die Tutor/innen bieten wöchentlich Sprechstunden an, um den Student/innen bei ihren Fragen und Problemen zu helfen.","Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studentinnen bei ihren Fragen und Problemen zu helfen."
"Selbst als Manager*in behält dey stets ein offenes Ohr für die Anliegen deren Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen.","Selbst als Manager behält er stets ein offenes Ohr für die Anliegen seines Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen."
Dier Passagier:in wartete geduldig auf deren Flug.,Der Passagier wartete geduldig auf seinen Flug.
Dier Investor_in zeigte großes Interesse an dem neuen Startup.,Die Investorin zeigte großes Interesse an dem neuen Startup.
"Die SachbearbeiterInnummer wurde in das System eingegeben, um den Fall zuzuordnen.","Die Sachbearbeiternummer wurde in das System eingegeben, um den Fall zuzuordnen."
Dier Grafiker*in erstellte beeindruckende Illustrationen für das Magazin.,Die Grafikerin erstellte beeindruckende Illustrationen für das Magazin.
Dier ProtokollführerIn dokumentierte alle wichtigen Punkte der Besprechung in detaillierten Notizen.,Der Protokollführer dokumentierte alle wichtigen Punkte der Besprechung in detaillierten Notizen.
"Die Arbeiter_innen legten eine Pause ein, um sich zu stärken.","Die Arbeiterinnen legten eine Pause ein, um sich zu stärken."
Ohne die ehrenamtlichen Helfer:innen wäre das Fest nicht möglich gewesen.,Ohne die ehrenamtlichen Helferinnen wäre das Fest nicht möglich gewesen.
Meine beste befreundete Person ist meine treue Wegbegleitung in allen Lebenslagen.,Mein bester Freund ist mein treuer Weggefährte in allen Lebenslagen.
Die andere Sprache sprechende Person beherrschte mehrere Sprachen fließend.,Die Fremdsprachlerin beherrschte mehrere Sprachen fließend.
Die Teammitglieder arbeiteten gemeinsam an dem Projekt.,Die Mitarbeiter arbeiteten gemeinsam an dem Projekt.
Dier Chefärzt/in garantiert den Patient/innen eine erstklassige medizinische Versorgung,Der Chefarzt garantiert den Patienten eine erstklassige medizinische Versorgung
"Alle sind eingeladen, an der Veranstaltung teilzunehmen.","Jedermann ist eingeladen, an der Veranstaltung teilzunehmen."
"Die lizenznehmende Person erhielt die Erlaubnis, das patentierte Produkt zu produzieren.","Der Lizenznehmer erhielt die Erlaubnis, das patentierte Produkt zu produzieren."
Dier FachärztIn für Kardiologie hat mich behandelt.,Die Fachärztin für Kardiologie hat mich behandelt.
Dier Angeklagte bestreitet deren Schuld vehement.,Die Angeklagte bestreitet ihre Schuld vehement.
Dier RechteinhaberIn erlaubte die Nutzung des Materials.,Die Rechteinhaberin erlaubte die Nutzung des Materials.
