non_gendered,gendered,predicted
Eine gesetzliche Vertreterin ist für die rechtlichen Angelegenheiten des Kindes verantwortlich.,Ein:e gesetzliche:r Vertreter:in ist für die rechtlichen Angelegenheiten des Kindes verantwortlich.,Ein gesetzliche Vertreterin ist für die rechtlichen Angelegenheiten des Kindes verantwortlich.
Die Hosts begrüßten die Gäste auf der Veranstaltung.,Die Host:essen begrüßten die Gäst:innen auf der Veranstaltung.,Die Hostessen begrüßten die Gäste auf der Veranstaltung.
Die Schülerinfirma verkaufte selbstgemachte Produkte auf dem Schulfest und sammelte Geld für ein soziales Projekt.,Die Schüler_infirma verkaufte selbstgemachte Produkte auf dem Schulfest und sammelte Geld für ein soziales Projekt.,Die Schülerinfirma verkaufte selbstgemachte Produkte auf dem Schulfest und sammelte Geld für ein soziales Projekt.
Der alte Herrscher war bei seinem Volk sehr beliebt.,Dier alte HerrscherIn war bei deren Volk sehr beliebt.,Der alte Herrscher war bei seinem Volk sehr beliebt.
Die Modeschöpfer präsentierten ihre neue Kollektion auf der Fashion Week.,Die ModeschöpferInnen präsentierten ihre neue Kollektion auf der Fashion Week.,Die Modeschöpfer präsentierten ihre neue Kollektion auf der Fashion Week.
Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.,Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.,Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.
Es gibt viele Akteurinnen ,Es gibt viele beteiligte Personen,Es gibt viele beteiligte Personen
Ich bin Administrator,Ich bin als Administration tätig,Ich bin als Administration tätig
Der Anwender der Software war mit der Oberfläche sehr zufrieden.,Dier Anwender:in der Software war mit der Oberfläche sehr zufrieden.,Der Anwender der Software war mit der Oberfläche sehr zufrieden.
Angreiferinnen werden oft von ihren eigenen Ängsten getrieben.,Angreifer*innen werden oft von ihren eigenen Ängsten getrieben.,Angreiferinnen werden oft von ihren eigenen ngsten getrieben.
Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.,Der Mittelsmensch vermittelte erfolgreich zwischen den beiden Geschäftspersonen.,Der Mittelsmensch vermittelte erfolgreich zwischen den beiden Geschäftspersonen.
Der Bankräuber verübt Straftaten gegen Finanzinstitute.,Dier Bankräuber_in verübt Straftaten gegen Finanzinstitute.,Die Bankräuberin verübt Straftaten gegen Finanzinstitute.
Jörg übernahm die Rolle der Schirmherrin für das Wohltätigkeitskonzert.,Jörg übernahm die Rolle dies Schirmherr:in für das Wohltätigkeitskonzert.,Jörg übernahm die Rolle der Schirmherrin für das Wohltätigkeitskonzert.
"Jede Wählerstimme wurde sorgfältig gezählt, um ein korrektes Wahlergebnis zu gewährleisten.","Jede Wähler*instimme wurde sorgfältig gezählt, um ein korrektes Wahlergebnis zu gewährleisten.","Jede Wählerinstimme wurde sorgfältig gezählt, um ein korrektes Wahlergebnis zu gewährleisten."
Die Gebäude aus der Gründerinzeit sind architektonisch beeindruckend.,Die Gebäude aus der GründerInzeit sind architektonisch beeindruckend.,Die Gebäude aus der Gründerzeit sind architektonisch beeindruckend.
Sie ist eine starke Verfechterin der Demokratie.,Dey ist ein*e starke:r Verfechter*in der Demokratie.,Er ist ein starker Verfechter der Demokratie.
"Petra ist Allergikerin, immer wenn sie am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war.","Petra ist Allergiker/in, immer wenn dey am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war.","Petra ist Allergiker, immer wenn sie am Niessen ist oder am Naseputzen ist, drehen sich Menschen in der Bahn um, damit sie sehen können, wer das war."
Das Arztgeheimnis schützt die Privatsphäre der Patienten.,Die ärztliche Schweigepflicht schützt die Privatsphäre der behandelten Personen.,Die Schweigepflicht schützt die Privatsphäre der behandelten Personen.
Der Preisträger wurde für seine herausragende Leistung ausgezeichnet.,Dier Preisträger:in wurde für deren herausragende Leistung ausgezeichnet.,Die Preisträgerin wurde für ihre herausragende Leistung ausgezeichnet.
Die Gesellin lernte viel von ihrer Meisterin.,Die neu ausgelernte Fachkraft lernte viel von der Person mit abgeschlossener Meisterprüfung.,Die Neumannin lernte viel von ihrer Meisterprüfung.
XY,XY,XY
"Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studentinnen bei ihren Fragen und Problemen zu helfen.","Die Tutor*innen bieten wöchentlich Sprechstunden an, um den Student*innen bei ihren Fragen und Problemen zu helfen.","Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studentinnen bei ihren Fragen und Problemen zu helfen."
Der Inspekteur überprüfte die Sicherheitsstandards in der Fabrik.,Dier Inspekteur*in überprüfte die Sicherheitsstandards in der Fabrik.,Die Inspekteurin überprüfte die Sicherheitsstandards in der Fabrik.
"Die Mehrbenutzerinfunktion ermöglichte es den Teammitgliedern, effektiv zusammenzuarbeiten und ihre individuellen Stärken einzubringen.","Die Mehrbenutzer_infunktion ermöglichte es den Teammitgliedern, effektiv zusammenzuarbeiten und ihre individuellen Stärken einzubringen.","Die Mehrbenutzerfunktion ermöglichte es den Teammitgliedern, effektiv zusammenzuarbeiten und ihre individuellen Stärken einzubringen."
Die Kinder lernten Räuberinleiter. ,Die Kinder lernten Steighilfe. ,Die Kinder lernten Steighilfe.
Der Evakuierungshelfer leistete schnelle und effektive Hilfe.,Dier EvakuierungshelferIn leistete schnelle und effektive Hilfe.,Der Evakuierungshelfer leistete schnelle und effektive Hilfe.
Die Coderin programmierte eine neue App.,Dier CoderIn programmierte eine neue App.,Die Coderin programmierte eine neue App.
... Wie viele Teilnehmerinnen wird der Kurs haben?,... Wie viele Teilnehmer/innen wird der Kurs haben?,... Wie viele Teilnehmerinnen wird der Kurs haben?
Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.,Die Sprachanimateur:innen machten den Unterricht interaktiv und lebendig.,Die Sprachanimateurinnen machten den Unterricht interaktiv und lebendig.
Der Reporter berichtete live vom Ort des Geschehens.,Dier Reporter:in berichtete live vom Ort des Geschehens.,Der Reporter berichtete live vom Ort des Geschehens.
Die Betrachterin schaut morgens früh sich den Sonnenuntergang mit vogel gezwitscher an,Dier Betrachter*in schaut morgens früh sich den Sonnenuntergang mit vogel gezwitscher an,Der Betrachter schaut morgens früh sich den Sonnenuntergang mit vogel gezwitscher an
Der Kellner nahm die Bestellung auf und servierte die Speisen mit einem freundlichen Lächeln.,Dier Kellner_in nahm die Bestellung auf und servierte die Speisen mit einem freundlichen Lächeln.,Der Kellner nahm die Bestellung auf und servierte die Speisen mit einem freundlichen Lächeln.
... Wie viele Nutzer hat das Fitnessstudio?,... Wie viele Mitglieder hat das Fitnessstudio?,... Wie viele Mitglieder hat das Fitnessstudio?
Die Diebinnen entkamen mit der Beute.,Die Dieb:innen entkamen mit der Beute.,Die Diebinnen entkamen mit der Beute.
Aus der Mitarbeiterperspektive war das neue Projekt sehr herausfordernd.,Aus der Mitarbeiter/inperspektive war das neue Projekt sehr herausfordernd.,Aus der Mitarbeiterperspektive war das neue Projekt sehr herausfordernd.
Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.
... Eine-Frau-Betrieb,... Ein-Personen-Betrieb,... Ein-Personen-Betrieb
Der Schulabbrecher suchte nach einer neuen Ausbildungsmöglichkeit.,Dier SchulabbrecherIn suchte nach einer neuen Ausbildungsmöglichkeit.,Die Schulabbrecherin suchte nach einer neuen Ausbildungsmöglichkeit.
"Die Kundinnen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
","Die Kund:innen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
",Die Kundin waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
Die Beamtin arbeitete im Rathaus.,Dier Beamt:in arbeitete im Rathaus.,Die Beamtin arbeitete im Rathaus.
"Als Leistungsträgerin im Unternehmen erhielt sie eine Beförderung.
","Als Leistungsträger/in im Unternehmen erhielt dey eine Beförderung.
",Als Leistungsträger im Unternehmen erhielt sie eine Beförderung.
Der Stromanbieter erhöhte die Preise.,Dier Stromanbieter_in erhöhte die Preise.,Die Stromanbieterin erhöhte die Preise.
Die Auftragnehmerinnen lasen den Vertrag vorab gründlich durch.,Die Auftragnehmer*innen lasen den Vertrag vorab gründlich durch.,Die Auftragnehmer lasen den Vertrag vorab gründlich durch.
"Die Ärztin öffnete ihren Ärztinkoffer, um das notwendige Werkzeug herauszuholen.","Dier Ärzt_in öffnete deren Ärzt_inkoffer, um das notwendige Werkzeug herauszuholen.","Der Arzt öffnete seine rztinkoffer, um das notwendige Werkzeug herauszuholen."
Das Nachbarhaus wurde kürzlich renoviert.,Das Nachbar_inhaus wurde kürzlich renoviert.,Das Nachbarhaus wurde kürzlich renoviert.
Die Bestatterin organisierte die Beerdigung mit viel Einfühlungsvermögen.,Dier Bestatter/in organisierte die Beerdigung mit viel Einfühlungsvermögen.,Die Bestatterin organisierte die Beerdigung mit viel Einfühlungsvermögen.
Der Berufskraftfahrer muss sich an strenge Vorschriften halten.,Dier Berufskraftfahrer*in muss sich an strenge Vorschriften halten.,Die Berufskraftfahrerin muss sich an strenge Vorschriften halten.
Das Studentinwohnheim bietet günstige Unterkünfte.,Das Studierendenwohnheim bietet günstige Unterkünfte.,Das Studierendenwohnheim bietet günstige Unterkünfte.
Die Bundestagspräsidentin leitete die Sitzung im Parlament.,Dier Bundestagspräsident_in leitete die Sitzung im Parlament.,Der Bundestagspräsident leitete die Sitzung im Parlament.
"Der Analphabet hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Die leseunfähige Person hat Schwierigkeiten, gedruckte Texte zu verstehen. ","Die Leseunfähige hat Schwierigkeiten, gedruckte Texte zu verstehen."
Der Erfinder erhielt ein Patent für seine neue Maschine.,Dier Erfinder:in erhielt ein Patent für deren neue Maschine.,Der Erfinder erhielt ein Patent für seine neue Maschine.
Der Initiator des Projekts war begeistert von der positiven Resonanz.,Dier InitiatorIn des Projekts war begeistert von der positiven Resonanz.,Die Initiatorin des Projekts war begeistert von der positiven Resonanz.
Der Raucherinbereich ist draußen vor dem Gebäude.,Der Raucher:inbereich ist draußen vor dem Gebäude.,Der Raucherbereich ist draußen vor dem Gebäude.
Die Fahrerinkabine des Lastwagens war modern und komfortabel.,Die Fahrer*inkabine des Lastwagens war modern und komfortabel.,Die Fahrerinkabine des Lastwagens war modern und komfortabel.
Die Personalentwicklerin plant Schulungen für die Mitarbeiterinnen.,Dier Personalentwickler:in plant Schulungen für die Mitarbeiter:innen.,Die Personalentwicklerin plant Schulungen für die Mitarbeiterinnen.
Die App ist besonders benutzerfreundlich.,Die App ist besonders benutzerInnenfreundlich.,Die App ist besonders benutzerfreundlich.
"Der Vertreter besuchte die Kunden, um die neuen Produkte vorzustellen.","Dier Vertreter_in besuchte die Kund_innen, um die neuen Produkte vorzustellen.","Die Vertreterin besuchte die Kunden, um die neuen Produkte vorzustellen."
Die Angehörige unterstützt deren Liebsten Menschen in schwierigen Zeiten,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Die Angehörige unterstützt ihren liebsten Menschen in schwierigen Zeiten
Der Reformer setzte sich leidenschaftlich für soziale Gerechtigkeit und Bildungseinrichtungen ein.,Die reformierende Person setzte sich leidenschaftlich für soziale Gerechtigkeit und Bildungseinrichtungen ein.,Die Reformerin setzte sich leidenschaftlich für soziale Gerechtigkeit und Bildungseinrichtungen ein.
"Die Anmeldung bei der Schul-, Haus- oder Kinderärztin verlief reibungslos.","Die Anmeldung bei dier Schul-, Haus- oder Kinderärzt:in verlief reibungslos.","Die Anmeldung bei der Schul-, Haus- oder Kinderärztin verlief reibungslos."
Die neue Software befindet sich noch in der Pilotinphase.,Die neue Software befindet sich noch in der Pilot:inphase.,Die neue Software befindet sich noch in der Pilotphase.
Der Leser war von der spannenden Handlung des Romans begeistert.,Dier LeserIn war von der spannenden Handlung des Romans begeistert.,Der Leser war von der spannenden Handlung des Romans begeistert.
Die Liebhaberin klassischer Musik freute sich auf das Konzert am Wochenende.,Dier Liebhaber_in klassischer Musik freute sich auf das Konzert am Wochenende.,Der Liebhaber klassischer Musik freute sich auf das Konzert am Wochenende.
Die Wirtschaftswissenschaftler untersuchen die globalen Handelsströme.,Die Fachleute der Wirtschaftswissenschaft untersuchen die globalen Handelsströme.,Die Wirtschaftswissenschaftlerin untersuchen die globalen Handelsströme.
Der Rivale war schwer zu besiegen.,Dier Rival:in war schwer zu besiegen.,Der Rival war schwer zu besiegen.
... An der Oper arbeiten 30 hauptberufliche Sänger.,... An der Oper singen 30 Personen hauptberuflich.,... An der Oper singen 30 Personen hauptberuflich.
Ich wurde von einem Alleinerziehenden aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer alleinerziehenden Person aufgezogen.
"Der Gamer verbrachte Stunden damit, sein Lieblingsspiel zu spielen.","Dier Gamer/in verbrachte Stunden damit, deren Lieblingsspiel zu spielen.","Die Gamerin verbrachte Stunden damit, ihre Lieblingsspiel zu spielen."
Der Funktionsträger hatte eine wichtige Rolle in der Organisation.,Dier Funktionsträger*in hatte eine wichtige Rolle in der Organisation.,Die Funktionsträgerin hatte eine wichtige Rolle in der Organisation.
Der General Manager war für den reibungslosen Betrieb des Hotels verantwortlich.,Dier General ManagerIn war für den reibungslosen Betrieb des Hotels verantwortlich.,Die General Managerin war für den reibungslosen Betrieb des Hotels verantwortlich.
Die Energieversorgerin sicherte die Stromversorgung für die Region.,Das Energieversorgungsunternehmen sicherte die Stromversorgung für die Region.,Das Energieversorgungsunternehmen sicherte die Stromversorgung für die Region.
Das Angebot des Anbieter umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterin umfasst eine Vielzahl von Produkten
Der Filmemacher präsentierte seinen neuen Dokumentarfilm auf dem Festival.,Dier Filmemacher:in präsentierte deren neuen Dokumentarfilm auf dem Festival.,Der Filmemacher präsentierte seine neuen Dokumentarfilm auf dem Festival.
Die Humanistin setzte sich für die Menschenrechte ein.,Dier Humanist*in setzte sich für die Menschenrechte ein.,Die Humanistin setzte sich für die Menschenrechte ein.
Die Geldgeberin unterstützte das Start-up mit einer großzügigen Investition.,Dier GeldgeberIn unterstützte das Start-up mit einer großzügigen Investition.,Der Geldgeber unterstützte das Start-up mit einer großzügigen Investition.
Die Künstlerkolonie ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Kunstsiedlung ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.,Die Kunstsiedlung ist bekannt für ihre experimentelle und gemeinschaftliche Kunstproduktion.
"Liebe Frau, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","Lieber Mensch, ich hoffe, dir geht es gut."
Die Einwohnerindichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohner_indichte in der Innenstadt ist viel höher als in den Vororten.,Die Einwohnerdichte in der Innenstadt ist viel höher als in den Vororten.
Die Nutzerindaten werden sicher auf dem Server gespeichert.,Die NutzerIndaten werden sicher auf dem Server gespeichert.,Die Nutzerdaten werden sicher auf dem Server gespeichert.
Das Mädchenteam feierte seinen Sieg ausgiebig.,Das junge Team feierte seinen Sieg ausgiebig.,Das junge Team feierte seinen Sieg ausgiebig.
