gendered,non_gendered
Dier Sklav/in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Der Sklave musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.
Dier Handlanger_in brachte die Werkzeuge zur Baustelle.,Der Handlanger brachte die Werkzeuge zur Baustelle.
Dier AussiedlerIn kaufte ein Haus auf Mallorca und genoss deren Rente in vollen Zügen.,Der Aussiedler kaufte ein Haus auf Mallorca und genoss seine Rente in vollen Zügen.
Dier Pfadfinder:in freute sich auf das Zeltlager.,Die Pfadfinderin freute sich auf das Zeltlager.
Der Seiteneinsteiger_inlehrgang hilft in neue Berufe.,Der Seiteneinsteigerlehrgang hilft in neue Berufe.
Dier Sanitäter/in leistete schnelle Hilfe nach dem Unfall.,Der Sanitäter leistete schnelle Hilfe nach dem Unfall.
Das Gründer_inzentrum bot Start-ups umfassende Unterstützung und Ressourcen.,Das Gründerzentrum bot Start-ups umfassende Unterstützung und Ressourcen.
Die Schöffendienst leistende Person unterstützte die Rechtsprechung.,Die Schöffin unterstützte die Rechtsprechung.
Die Rechtsanwält*innen diskutierten den Fall ausführlich.,Die Rechtsanwälte diskutierten den Fall ausführlich.
Die ersthelfende Person reagierte schnell und rettete das Leben der verletzten Person.,Der Ersthelfer reagierte schnell und rettete das Leben des Verletzten.
Dier LehrstuhlleiterIn organisierte eine internationale Konferenz an der Universität.,Der Lehrstuhlleiter organisierte eine internationale Konferenz an der Universität.
Ich möchte die Chefärzt:inbehandlung.,Ich möchte die Chefärztinbehandlung.
Dier Pfarrer:in segnete die Gemeinde.,Der Pfarrer segnete die Gemeinde.
Die Planer_innen erstellten den Entwurf für das neue Gebäude.,Die Planer erstellten den Entwurf für das neue Gebäude.
Dier Verwalter:in kümmerte sich um die Instandhaltung des Gebäudes.,Die Verwalterin kümmerte sich um die Instandhaltung des Gebäudes.
Dey entschied sich für eine BeamtInnenlaufbahn im öffentlichen Dienst.,Sie entschied sich für eine Beamtinnenlaufbahn im öffentlichen Dienst.
Der Genussmensch genoss das exquisite Fünf-Gänge-Menü.,Die Feinschmeckerin genoss das exquisite Fünf-Gänge-Menü.
Die Verbraucher/innenschützer/innen setzen sich aktiv für die Rechte der Verbraucher/innen ein und kämpfen gegen betrügerische Geschäftspraktiken.,Die Verbraucherinnenschützerinnen setzen sich aktiv für die Rechte der Verbraucherinnen ein und kämpfen gegen betrügerische Geschäftspraktiken.
Das Ärzt:inzeugnis muss bei der Arbeit eingereicht werden.,Das Ärztinzeugnis muss bei der Arbeit eingereicht werden.
Ein*e Subunternehmer*in erledigte die speziellen Bauarbeiten am Projekt.,Ein Subunternehmer erledigte die speziellen Bauarbeiten am Projekt.
Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Meine Schwiegermutter ist ein sehr netter und hilfsbereiter Mensch.
Die Hausherr/innen trafen sich zum Kaffee.,Die Hausherren trafen sich zum Kaffee.
Dier Entwickler_in arbeitet an einem neuen Softwareprojekt.,Die Entwicklerin arbeitet an einem neuen Softwareprojekt.
"Dier Interviewer:in stellte gezielte Fragen, um mehr zu erfahren.","Der Interviewer stellte gezielte Fragen, um mehr zu erfahren."
Dier Auswander_in hatte sich das Leben in einem anderen Land einfacher vorgestellt.,Die Auswanderin hatte sich das Leben in einem anderen Land einfacher vorgestellt.
Der Seiteneinstiegslehrgang hilft in neue Berufe.,Der Seiteneinsteigerlehrgang hilft in neue Berufe.
Die Studienbeginnenden wurden in der Einführungswoche begrüßt.,Die Studienanfängerinnen wurden in der Einführungswoche begrüßt.
Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Meine Schwiegermutter ist ein sehr netter und hilfsbereiter Mensch.
Die am Zehnkampf teilnehmende Person trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.,Der Zehnkämpfer trainierte hart für den Mehrkampf und bereitete sich auf die verschiedenen Disziplinen vor.
Die Schüler/innenbegegnung förderte den interkulturellen Austausch.,Die Schülerinnenbegegnung förderte den interkulturellen Austausch.
Dier Spender/in spendete regelmäßig Blut.,Der Spender spendete regelmäßig Blut.
"Dey nahm einen StudentInjob an, um deren Studium zu finanzieren.","Er nahm einen Studentenjob an, um sein Studium zu finanzieren."
Der Schwimmmeister*inraum enthält alle Sicherheitsausrüstungen.,Der Schwimmmeisterinraum enthält alle Sicherheitsausrüstungen.
Dier Rival:in war schwer zu besiegen.,Die Rivalin war schwer zu besiegen.
"Deren stärkste Konkurrenz im Wettbewerb zeigte eine beeindruckende Leistung.
","Sein stärkster Konkurrent im Wettbewerb zeigte eine beeindruckende Leistung.
"
Dier VermieterIn hat die Miete für das nächste Jahr erhöht.,Die Vermieterin hat die Miete für das nächste Jahr erhöht.
Dier Hausärzt/in stellte die Diagnose und verschrieb die notwendigen Medikamente.,Der Hausarzt stellte die Diagnose und verschrieb die notwendigen Medikamente.
Die Anwohnenden beschwerten sich über den Baustellenlärm.,Die Anwohnerinnen beschwerten sich über den Baustellenlärm.
Dier Podolog*in kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.,Die Podologin kümmerte sich um die Fußgesundheit und behandelte verschiedene Fußbeschwerden.
Deutschland könnte eine VorreiterInrolle im Klimaschutz spielen.,Deutschland könnte eine Vorreiterinrolle im Klimaschutz spielen.
Dier Handlanger_in brachte die Werkzeuge zur Baustelle.,Die Handlangerin brachte die Werkzeuge zur Baustelle.
Dier Diplomand*in verteidigte erfolgreich deren Abschlussarbeit.,Die Diplomandin verteidigte erfolgreich ihre Abschlussarbeit.
Dier Enthusiast:in spricht leidenschaftlich über deren Hobby.,Die Enthusiastin spricht leidenschaftlich über ihr Hobby.
Viele Unternehmen beschäftigen Mitarbeiter_innen in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiterinnen in Teilzeit.
Die Trauzeug_innen unterstützten das Paar am Hochzeitstag.,Die Trauzeuginnen unterstützten das Paar am Hochzeitstag.
Dier Normgeber/in legt die technischen Standards für die Industrie fest.,Der Normgeber legt die technischen Standards für die Industrie fest.
Neue Mitarbeiter_instellen wurden in verschiedenen Abteilungen ausgeschrieben.,Neue Mitarbeiterstellen wurden in verschiedenen Abteilungen ausgeschrieben.
Die Minister_innen hielten eine wichtige Rede im Parlament.,Die Minister hielten eine wichtige Rede im Parlament.
Dier Meldende erhielt eine Quittung für deren Meldung.,Die Meldende erhielt eine Quittung für ihre Meldung.
Die Besucher*inzahlen im Zoo stiegen nach der Renovierung deutlich an.,Die Besucherinzahlen im Zoo stiegen nach der Renovierung deutlich an.
"Das Seiteneinsteiger:inprogramm ermöglichte es, sich in neuen Bereichen zu qualifizieren.","Das Seiteneinsteigerprogramm ermöglichte es, sich in neuen Bereichen zu qualifizieren."
Heute bei meinem Termin war dier BürokratIn überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.,Heute bei meinem Termin war der Bürokrat überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.
"Josh, Pauli, und Thato sind Alltagsheld:innen, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein.","Josh, Pauli, und Thato sind Alltagsheldinnn, denn sie setzen sich jeden Tag für das Wohl anderer Menschen ein."
BerlinerInnen leben zwar in einer Großstadt doch erhalten nicht das Gehalt einer Großstadt.,Berlinerinnen leben zwar in einer Großstadt doch erhalten nicht das Gehalt einer Großstadt.
Die Politiker_innen tagen bis spät in die Nacht.,Die Politiker tagen bis spät in die Nacht.
Dier Dienstleister_in bietet exzellenten Service.,Der Dienstleister bietet exzellenten Service.
Dey kümmerte sich stiefelterlich um die Kinder.,Er kümmerte sich stiefväterlich um die Kinder.
Die PatientIninformation umfasst alle relevanten Details zur Behandlung und Medikation.,Die Patientininformation umfasst alle relevanten Details zur Behandlung und Medikation.
Mein_e Arbeitskolleg_in half mir bei einem schwierigen Projekt.,Meine Arbeitskollegin half mir bei einem schwierigen Projekt.
Dier Sprecher*in kündigte die Neuigkeiten im Radio an.,Die Sprecherin kündigte die Neuigkeiten im Radio an.
Dier Sammler:in hortete alte Münzen und antike Briefmarken.,Der Sammler hortete alte Münzen und antike Briefmarken.
Dier Spaziergänger*in genoss das schöne Wetter im Park.,Die Spaziergängerin genoss das schöne Wetter im Park.
Dier Schöpfer_in der neuen Software erhielt viel Lob für die innovative Benutzer_inoberfläche.,Der Schöpfer der neuen Software erhielt viel Lob für die innovative Benutzeroberfläche.
Dier Fotograf_in machte beeindruckende Aufnahmen der Landschaft.,Der Fotograf machte beeindruckende Aufnahmen der Landschaft.
Dier Filmemacher_in drehte einen neuen Dokumentarfilm.,Der Filmemacher drehte einen neuen Dokumentarfilm.
Dier SozialistIn setzt sich für soziale Gerechtigkeit ein.,Der Sozialist setzt sich für soziale Gerechtigkeit ein.
Dier Bieter*in gewann die Auktion mit dem höchsten Gebot.,Der Bieter gewann die Auktion mit dem höchsten Gebot.
Das NachbarInhaus wurde kürzlich renoviert.,Das Nachbarinhaus wurde kürzlich renoviert.
Die stehlenden Personen entkamen mit der Beute.,Die Diebe entkamen mit der Beute.
"Die Passagier/innen wurden gebeten, sich zur Sicherheitskontrolle zu begeben.","Die Passagierinnen wurden gebeten, sich zur Sicherheitskontrolle zu begeben."
Dier Körperspender:in hat deren Überreste der medizinischen Forschung zur Verfügung gestellt.,Der Körperspender hat seine Überreste der medizinischen Forschung zur Verfügung gestellt.
Dier Grundschüler*in malte ein Bild für deren Lehrer*in.,Der Grundschüler malte ein Bild für seine Lehrer.
Im ÄrztInzimmer warteten schon die nächsten PatientInnen.,Im Arztzimmer warteten schon die nächsten Patienten.
Viele Leser schätzen die tiefgründigen Analysen der renommierten Literaturkritisierenden.,Viele Leser schätzen die tiefgründigen Analysen der renommierten Literaturkritiker.
Die Fasnächtler_innen zogen bunt kostümiert durch die Straßen.,Die Fasnächtler zogen bunt kostümiert durch die Straßen.
"Das Gäst*inhörer*instudium ermöglichte ihr, verschiedene Vorlesungen ohne Prüfungsdruck zu besuchen.","Das Gästinhörerinstudium ermöglichte ihr, verschiedene Vorlesungen ohne Prüfungsdruck zu besuchen."
"Dier Verkäufer_in präsentierte die Vorzüge des Autos und bot derl Kund_in eine Probefahrt an, um demm zu überzeugen.","Der Verkäufer präsentierte die Vorzüge des Autos und bot dem Kunden eine Probefahrt an, um ihn zu überzeugen."
"Die Mediengestalter_in war dafür verantwortlich, die Inhalte visuell ansprechend zu präsentieren.","Der Mediengestalter war dafür verantwortlich, die Inhalte visuell ansprechend zu präsentieren."
Dier AtheistIn diskutierte offen über deren Überzeugungen.,Die Atheistin diskutierte offen über ihre Überzeugungen.
Dier Museolog/in kuratierte die Ausstellung im Museum.,Die Museologin kuratierte die Ausstellung im Museum.
Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.
"Die Tagesbetreuung betreut die Kinder liebevoll in einer familiären Umgebung, während die Eltern arbeiten.","Die Tagesmutter betreut die Kinder liebevoll in einer familiären Umgebung, während die Eltern arbeiten."
Im Lehrer:inzimmer tauschten sich die Lehrer:innen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrerinzimmer tauschten sich die Lehrerinnen über ihre Erfahrungen und Unterrichtsstrategien aus.
Die Narr:innen freuen sich auf Karneval.,Die Narrinnen freuen sich auf Karneval.
Dier Pastor:in hielt eine bewegende Predigt.,Die Pastorin hielt eine bewegende Predigt.
Die Eltern-Kind-Gruppe traf sich jeden Samstag zum Spielen.,Die Mutter-Kind-Gruppe traf sich jeden Samstag zum Spielen.
Die Mitglieder der Presse versammelten sich vor dem Gericht.,Die Vertreterinnen der Presse versammelten sich vor dem Gericht.
Kim ist deren eigeneR HerrIn.,Kim ist sein eigener Herr.
Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die unbefraute Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.
Die Störer/innen wurden aus dem Konzertsaal verwiesen.,Die Störer wurden aus dem Konzertsaal verwiesen.
"Die Vorgänger_instudie lieferte wichtige Daten, die für die aktuelle Forschung von Bedeutung waren.","Die Vorgängerstudie lieferte wichtige Daten, die für die aktuelle Forschung von Bedeutung waren."
Dier VisionärIn hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.,Der Visionär hatte eine klare Vorstellung von einer nachhaltigen Zukunft und arbeitete unermüdlich an innovativen Lösungen.
Dier FamilienhelferIn war bei der Bewältigung des Alltags eine große Unterstützung.,Der Familienhelfer war bei der Bewältigung des Alltags eine große Unterstützung.
Die Handwerker/innen renovierten das historische Gebäude.,Die Handwerkerinnen renovierten das historische Gebäude.
"Die Kunstkenner_innen erkannten sofort die Echtheit des Gemäldes.
","Die Kunstkennerinnen erkannten sofort die Echtheit des Gemäldes.
"
"Dier Gamer_in verbrachte Stunden damit, deren Lieblingsspiel zu spielen.","Der Gamer verbrachte Stunden damit, sein Lieblingsspiel zu spielen."
Das vorangegangene Projekt diente als Grundlage für die neue Initiative und lieferte wertvolle Erkenntnisse.,Das Vorgängerprojekt diente als Grundlage für die neue Initiative und lieferte wertvolle Erkenntnisse.
Dier Personalrät:in vertritt die Interessen der Mitarbeiter:innen.,Der Personalrat vertritt die Interessen der Mitarbeiter.
Die investierende Person zeigte großes Interesse an dem neuen Startup.,Der Investor zeigte großes Interesse an dem neuen Startup.
"Die Rehasport ausübende Person nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen.","Die Rehasportlerin nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen."
Dier EntdeckerIn kartierte unbekannte Gebiete des Regenwaldes.,Die Entdeckerin kartierte unbekannte Gebiete des Regenwaldes.
Dier Leistungsempfänger*in musste einen Antrag auf Sozialhilfe ausfüllen.,Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.
Dier DarstellerIn auf der Bühne beeindruckte das Publikum mit deren beeindruckenden Präsenz.,Die Darstellerin auf der Bühne beeindruckte das Publikum mit ihrer beeindruckenden Präsenz.
Dier AußenseiterIn fand nur schwer Anschluss in der neuen Klasse.,Die Außenseiterin fand nur schwer Anschluss in der neuen Klasse.
Die Alp/inisten erklimmen die Gipfel mit Leidenschaft.,Die Alpinisten erklimmen die Gipfel mit Leidenschaft.
Dier fünfte BenutzerIn dieses Gegenstands erhält eine freie Massage.,Der fünfte Benutzer dieses Gegenstands erhält eine freie Massage.
In unserer Nachbar/inschaft gibt es viele freundliche Menschen.,In unserer Nachbarinschaft gibt es viele freundliche Menschen.
"Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen.","Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen."
"Die Makler:in wurde beauftragt, die Immobilien im Namen des Unternehmens zu verkaufen.","Der Makler wurde beauftragt, die Immobilien im Namen des Unternehmens zu verkaufen."
Die Pendler_inpauschale hilft bei den Fahrtkosten zur Arbeit.,Die Pendlerpauschale hilft bei den Fahrtkosten zur Arbeit.
Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Der Lehrling begann seine Ausbildung mit viel Enthusiasmus.
Sie sollten Ihre_n Lebenspartner_in in die Planung mit einbeziehen.,Sie sollten Ihre Lebenspartnerin in die Planung mit einbeziehen.
Die supervisierende Person nahm regelmäßig an Supervisionsgesprächen teil.,Die Supervisandin nahm regelmäßig an Supervisionsgesprächen teil.
Thapelo ist einE AbiturientIn.,Thapelo ist ein Abiturient
